"species","maxLat","minLat","EA_0.25_cells"
"Podocarpus_affinis",-17.72631,-18.05656,3
"Podocarpus_angustifolius",20.3166,18.08,6
"Podocarpus_archboldii",-4.0994,-9.62573,16
"Podocarpus_bracteatus",3.91069,-8.56396,10
"Podocarpus_brasiliensis",10.1,-16.43333333,5
"Podocarpus_brassii",-4.99,-9.7,11
"Podocarpus_brevifolius",6.08,6.03,1
"Podocarpus_capuronii",-20.19027,-20.6,2
"Podocarpus_celatus",5.708,-17.7822,16
"Podocarpus_chingianus",31.66073889,30.33651667,2
"Podocarpus_coriaceus",18.3166,10.45,8
"Podocarpus_costalis",22.0179,9.65,5
"Podocarpus_costaricensis",10.23,8.075,4
"Podocarpus_crassigemmis",-5.5,-9.9,20
"Podocarpus_cunninghamii",-35.365,-47.078,42
"Podocarpus_decumbens",-21.95,-22.12,2
"Podocarpus_deflexus",4.6154,3.8045,3
"Podocarpus_dispermus",-17.25111111,-17.85,2
"Podocarpus_drouynianus",-33.33,-34.98,11
"Podocarpus_ekmanii",20.545418,20.47,4
"Podocarpus_elatus",-16.63,-35.0505,25
"Podocarpus_elongatus",-16.73463,-34.375,31
"Podocarpus_fasciculus",26.38,22.054064,15
"Podocarpus_gibbsiae",6.1,5.92,2
"Podocarpus_glaucus",13.27,-9.7,9
"Podocarpus_gnidioides",-21.857,-22.17277,3
"Podocarpus_grayae",-12.56,-17.95,11
"Podocarpus_guatemalensis",17.1666,-4.2666,33
"Podocarpus_henkelii",-4.5,-30.75,6
"Podocarpus_hispaniolensis",19.6,18.49,4
"Podocarpus_insularis",-3.3,-18.69672,6
"Podocarpus_lambertii",-11.5833,-30.85,14
"Podocarpus_latifolius",-23.07,-34.38,16
"Podocarpus_lawrencei",-35.21,-43.4679,24
"Podocarpus_ledermannii",-1.35,-4.21,4
"Podocarpus_longifoliolatus",-20.8186,-22.6369,4
"Podocarpus_lucienii",-20.4,-22.333,10
"Podocarpus_macrophyllus",36.1291,21.97,7
"Podocarpus_madagascariensis",-13.7777,-25.007,13
"Podocarpus_magnifolius",10.45,-15.086,11
"Podocarpus_matudae",23.33,14.4166,29
"Podocarpus_milanjianus",6.18333,-20.0166,46
"Podocarpus_nakaii",25.165379,22.25,12
"Podocarpus_neriifolius",23.2666,-11.33,47
"Podocarpus_nivalis",-39.0965,-45.6801,50
"Podocarpus_novae_caledoniae",-21.68,-22.62,8
"Podocarpus_nubigenus",-39.75,-47.65,16
"Podocarpus_oleifolius",18.3,-16.666,54
"Podocarpus_pallidus",-18.6042,-21.371,2
"Podocarpus_parlatorei",-18.49,-24.55366,10
"Podocarpus_pilgeri",22.78333,-9.61,28
"Podocarpus_polyspermus",-20.6,-21.40628,2
"Podocarpus_polystachyus",13.43,-2.75,20
"Podocarpus_pseudobracteatus",-5.4531,-7.341,10
"Podocarpus_purdieanus",19.6,18.2,3
"Podocarpus_ramosii",14.06715278,-1.420972222,5
"Podocarpus_rubens",-4.34364,-8.86803,13
"Podocarpus_rumphii",19.08172,-9.4,10
"Podocarpus_rusbyi",-14.7666,-17.95,8
"Podocarpus_salignus",-35.833332,-42.057,23
"Podocarpus_sellowii",-20.18333333,-25.609,8
"Podocarpus_smithii",-15.8141,-17.6987,4
"Podocarpus_spathoides",4.8,-8.542139,5
"Podocarpus_spinulosus",-23.8401,-36.99116689,47
"Podocarpus_sprucei",-1.61666,-4.58333,10
"Podocarpus_subtropicalis",36.519977,29.533333,2
"Podocarpus_sylvestris",-20.4,-22.2833,7
"Podocarpus_teysmannii",6.092,-2.3325,7
"Podocarpus_totara",-35.27,-46.97,40
"Podocarpus_transiens",-11.58,-27.12812778,9
"Podocarpus_trinitensis",10.739,10.68175,2
"Podocarpus_urbanii",18.09998056,18.047,1
"Prumnopitys_andina",-35.88436,-39.13,13
"Prumnopitys_exigua",-17.75,-18.83,11
"Prumnopitys_ferruginea",-35.3722,-47.1076,74
"Prumnopitys_ferruginoides",-20.6,-22.1,7
"Prumnopitys_harmsiana",-4.99,-17.75,9
"Prumnopitys_ladei",-16.4166,-16.55,3
"Prumnopitys_montana",5.74619,-11.33,17
"Prumnopitys_taxifolia",-35.383,-46.207,30
"Pseudolarix_amabilis",30.5,28.77083333,3
"Pseudotaxus_chienii",28.83,21.754,9
"Pseudotsuga_japonica",34.75,32.65,4
"Pseudotsuga_macrocarpa",35.3385,33.0206,13
"Pseudotsuga_menziesii",53.534443,24.867,163
"Pseudotsuga_sinensis",32.1755,21.8173,16
"Retrophyllum_comptonii",-20.46,-22.114462,12
"Retrophyllum_minus",-22.069,-22.3424,5
"Retrophyllum_piresii",-11.2167,-11.2167,1
"Retrophyllum_rospigliosii",8.65,-10.716667,17
"Retrophyllum_vitiense",-2.5,-18.23,12
"Saxegothaea_conspicua",-37.46694167,-45.72086944,33
"Sciadopitys_verticillata",39.28,32.18657,34
"Sequoiadendron_giganteum",39.054,36.3333,9
"Sequoia_sempervirens",45.5442,36.2393,28
"Sundacarpus_amarus",13.27,-17.96,48
"Taiwania_cryptomerioides",30.06666667,21.93333333,18
"Taxodium_distichum",38.8892,26.32,131
"Taxodium_mucronatum",28.5,9.93,55
"Taxus_baccata",62.695,33.229284,62
"Taxus_brevifolia",52.583,39.4992,82
"Taxus_canadensis",51.1,36.9211,123
"Taxus_contorta",31.91546667,28.75169444,5
"Taxus_cuspidata",44,33.38333,12
"Taxus_floridana",30.63694444,30.2328,4
"Taxus_globosa",23.995832,14.52,15
"Taxus_mairei",49.3,21.4025,133
"Taxus_wallichiana",31.5,20.73,28
"Tetraclinis_articulata",37.599,33.77,14
"Thuja_koraiensis",41.7492,37.09,5
"Thuja_occidentalis",53.08,36.2959,135
"Thuja_plicata",56.56,43.2197,93
"Thuja_standishii",36.9878,36.4208,8
"Thujopsis_dolabrata",40.859,33.446,48
"Torreya_californica",40.76,36.2278,27
"Torreya_fargesii",33.7688,26.8761,34
"Torreya_grandis",33.32728,23.43747,48
"Torreya_jackii",29.03006667,26.86828056,6
"Torreya_nucifera",37.65222,35.9441,12
"Torreya_taxifolia",30.8788,30.2328,6
"Tsuga_canadensis",47.9065,34.533,27
"Tsuga_caroliniana",37.1255,35.0583,22
"Tsuga_chinensis",33.7669,22.6114,30
"Tsuga_diversifolia",36.990833,35.4,9
"Tsuga_dumosa",31.67,22.29,29
