sp,d.tpos,d.tneg,d.fpos,d.fneg,global.count,EA_0.25_cells
Calamus_thwaitesii,1,12,0,0,2154,1
Calamus_thysanolepis,8,12,0,0,10781,8
Calamus_tomentosus,3,12,0,0,1780,2
Calamus_trachycoleus,3,13,0,0,1637,2
Calamus_unifarius,1,12,0,0,4083,1
Calamus_usitatus,3,13,0,0,1306,4
Calamus_vestitus,7,8,0,0,2815,7
Calamus_viminalis,10,13,0,0,17401,7
Calamus_viridispinus,2,13,0,0,3951,2
Calamus_viridissimus,2,12,0,0,119,2
Calamus_vitiensis,27,25,3,0,10177,21
Calamus_walkeri,9,12,0,0,11935,9
Calamus_wanggaii,1,7,0,0,2093,1
Calamus_warburgii,31,30,5,1,14113,23
Calamus_zebrinus,27,24,5,0,17561,21
Calamus_zollingeri,2,8,0,0,2748,2
Calamus_zonatus,38,44,3,0,3512,26
Calyptrocalyx_albertisianus,22,24,4,0,15889,19
Calyptrocalyx_elegans,3,7,0,0,499,4
Calyptrocalyx_flabellatus,1,7,0,0,2482,1
Calyptrocalyx_forbesii,7,7,0,0,4753,8
Calyptrocalyx_geonomiformis,2,7,0,0,4294,2
Calyptrocalyx_hollrungii,12,14,0,0,5014,9
Calyptrocalyx_julianettii,2,8,0,0,4735,2
Calyptrocalyx_lauterbachianus,9,13,1,0,5849,9
Calyptrocalyx_laxiflorus,1,8,0,0,56,1
Calyptrocalyx_lepidotus,1,7,0,0,4100,1
Calyptrocalyx_leptostachys,1,8,0,0,512,1
Calyptrocalyx_merrillianus,2,7,0,0,1734,2
Calyptrocalyx_micholitzii,5,7,0,0,2353,4
Calyptrocalyx_multifidus,1,7,0,0,423,2
Calyptrocalyx_pachystachys,3,8,0,0,5584,3
Calyptrocalyx_pusillus,3,8,0,0,176,3
Calyptrocalyx_sessiliflorus,4,7,0,0,3268,4
Calyptrocalyx_spicatus,2,7,0,0,3814,2
Calyptrogyne_allenii,54,50,0,1,1339,8
Calyptrogyne_anomala,18,27,0,0,3860,5
Calyptrogyne_baudensis,7,13,0,0,1512,4
Calyptrogyne_coloradensis,2,13,0,0,431,1
Calyptrogyne_condensata,14,14,0,0,10949,5
Calyptrogyne_costatifrons,97,92,1,0,3049,17
Calyptrogyne_deneversii,9,14,0,0,2839,2
Calyptrogyne_fortunensis,6,13,0,0,376,3
Calyptrogyne_ghiesbreghtiana,235,192,12,8,6610,74
Calyptrogyne_herrerae,8,13,0,0,98,2
Calyptrogyne_kunorum,3,13,0,0,3114,1
Calyptrogyne_osensis,23,25,0,0,3931,7
Calyptrogyne_panamensis,54,51,0,0,2086,11
Calyptrogyne_pubescens,4,13,0,0,696,1
Calyptrogyne_sanblasensis,4,14,0,0,6301,2
Calyptrogyne_trichostachys,55,59,0,0,5178,12
Calyptrogyne_tutensis,12,13,0,0,2956,2
Calyptronoma_occidentalis,1,13,0,0,624,1
Calyptronoma_plumeriana,5,14,0,0,3467,4
Calyptronoma_rivalis,9,14,0,0,6546,7
Carpentaria_acuminata,41,41,1,1,1514,26
Caryota_albertii,29,28,1,1,23498,11
Caryota_cumingii,1,13,0,0,355,1
Caryota_kiriwongensis,1,12,0,0,368,1
Caryota_maxima,20,22,3,0,28295,21
Caryota_mitis,55,34,24,1,33127,52
Caryota_monostachya,30,33,3,1,13018,28
Caryota_obtusa,8,12,0,0,11199,6
Caryota_rumphiana,32,22,7,0,26808,32
Caryota_sympetala,15,22,2,1,13213,12
Caryota_urens,55,40,17,2,41216,52
Caryota_zebrina,2,8,0,0,2492,3
Ceratolobus_concolor,39,35,2,0,4194,30
Ceratolobus_discolor,20,21,3,0,3577,16
Ceratolobus_subangulatus,41,46,2,0,3593,31
Ceroxylon_alpinum,19,24,0,0,666,8
Ceroxylon_amazonicum,20,26,0,0,522,5
Ceroxylon_ceriferum,12,13,0,0,1201,7
Ceroxylon_echinulatum,23,24,0,0,2587,10
Ceroxylon_parvifrons,60,61,2,6,2488,33
Ceroxylon_parvum,11,14,0,0,4117,6
Ceroxylon_peruvianum,1,14,0,0,139,1
Ceroxylon_pityrophyllum,19,25,2,0,10969,16
Ceroxylon_quindiuense,66,73,1,0,979,31
Ceroxylon_sasaimae,6,14,0,0,354,3
Ceroxylon_ventricosum,16,27,1,0,3940,7
Ceroxylon_vogelianum,98,99,4,6,4004,42
Chamaedorea_adscendens,3,13,0,0,6889,3
Chamaedorea_allenii,73,67,2,2,9263,39
Chamaedorea_alternans,21,25,0,0,5576,8
Chamaedorea_amabilis,19,26,0,0,4344,11
Chamaedorea_anemophila,18,28,0,0,1321,10
Chamaedorea_angustisecta,102,84,12,2,11195,56
Chamaedorea_arenbergiana,37,34,4,0,17337,22
Chamaedorea_benziei,3,13,0,0,6012,3
Chamaedorea_binderi,4,13,0,0,1052,2
